Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,
"Mist Raven",1,63347,Common,MM3,43/249,No,No
"Slaughterhorn",1,63428,Common,MM3,136/249,Yes,No
"Island",5,61833,Basic Land,KLD,254/264,No,No
"Coiling Oracle",1,63072,Common,MM3,157/249,Yes,No
"Lone Missionary",1,63220,Common,MM3,14/249,Yes,No
"Selesnya Guildgate",1,63456,Common,MM3,246/249,Yes,No
"Selesnya Guildgate",1,63455,Common,MM3,246/249,No,No
"Sylvan Ranger",1,63101,Common,MM3,140/249,No,No
"Gifts Ungiven",1,63055,Rare,MM3,40/249,No,No
"Fists of Ironwood",1,63059,Common,MM3,126/249,No,No
"Graceful Reprieve",1,63110,Common,MM3,8/249,Yes,No
"Grasp of Phantoms",1,63287,Common,MM3,41/249,No,No
"Unflinching Courage",1,63481,Uncommon,MM3,197/249,No,No
"Mistmeadow Witch",1,63117,Uncommon,MM3,210/249,No,No
"Wing Splicer",1,63255,Uncommon,MM3,57/249,No,No
"Coiling Oracle",1,63071,Common,MM3,157/249,No,No
"Azorius Guildgate",1,63471,Common,MM3,230/249,No,No
"Forbidden Alchemy",1,63277,Common,MM3,38/249,No,No
"Tandem Lookout",2,63343,Common,MM3,53/249,No,No
"Plains",4,61841,Basic Land,KLD,251/264,No,No
"Forest",5,61829,Basic Land,KLD,263/264,No,No
"Basilisk Collar",1,63217,Rare,MM3,216/249,No,No
"Mystic Genesis",1,63423,Uncommon,MM3,174/249,No,No
"Wayfaring Temple",1,63377,Uncommon,MM3,202/249,No,No
"Death-Hood Cobra",2,63263,Common,MM3,123/249,No,No
"Kor Skyfisher",1,63193,Common,MM3,11/249,No,No
"Strength in Numbers",1,63087,Common,MM3,138/249,No,No

"Scorched Rusalka",1,63069,Common,MM3,110/249,No,Yes
"Swamp",1,61847,Basic Land,KLD,256/264,No,Yes
"Dimir Guildgate",1,63467,Common,MM3,234/249,No,Yes
"Past in Flames",1,63511,Mythic Rare,MM3,105/249,No,Yes
"Grisly Spectacle",1,63421,Common,MM3,73/249,No,Yes
"Wingcrafter",1,63318,Common,MM3,58/249,Yes,Yes
"Spell Pierce",1,63191,Common,MM3,51/249,No,Yes
"Gruul Guildgate",1,63453,Common,MM3,236/249,No,Yes
"Griselbrand",1,63341,Mythic Rare,MM3,72/249,No,Yes
"Broodmate Dragon",1,63161,Rare,MM3,153/249,No,Yes
"Torrent of Souls",1,63091,Uncommon,MM3,213/249,No,Yes
"Ranger of Eos",1,63507,Rare,MM3,19/249,No,Yes
"Damping Matrix",1,63053,Rare,MM3,218/249,No,Yes
"Orzhov Guildgate",1,63459,Common,MM3,241/249,No,Yes
"Giantbaiting",1,63121,Common,MM3,208/249,No,Yes
"Auger Spree",1,63397,Common,MM3,151/249,No,Yes
"Cower in Fear",1,63359,Common,MM3,62/249,No,Yes
"Soul Ransom",1,63431,Uncommon,MM3,186/249,No,Yes
"Seal of Primordium",1,63100,Common,MM3,135/249,Yes,Yes
"Burning-Tree Emissary",1,63407,Common,MM3,207/249,No,Yes
