Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,
"Marsh Flats",1,63201,Rare,MM3,239/249,No,No
"Gruul Signet",1,63307,Uncommon,MM3,222/249,No,No
"Ulvenwald Tracker",1,63337,Rare,MM3,144/249,No,No
"Auger Spree",2,63397,Common,MM3,151/249,No,No
"Sprouting Thrinax",2,63135,Uncommon,MM3,189/249,No,No
"Seal of Doom",1,63075,Uncommon,MM3,83/249,No,No
"Battle-Rattle Shaman",1,63221,Common,MM3,89/249,No,No
"Grixis Slavedriver",1,63167,Common,MM3,74/249,No,No
"Rakdos Signet",1,63235,Uncommon,MM3,225/249,No,No
"Falkenrath Noble",1,63275,Common,MM3,70/249,No,No
"Golgari Rotwurm",2,63065,Common,MM3,168/249,No,No
"Swamp",5,61847,Basic Land,KLD,256/264,No,No
"Sever the Bloodline",1,63296,Rare,MM3,84/249,Yes,No
"Skirsdag Cultist",1,63273,Uncommon,MM3,112/249,No,No
"Vampire Nighthawk",1,63195,Uncommon,MM3,87/249,No,No
"Scalding Tarn",1,63197,Rare,MM3,244/249,No,No
"Carnage Gladiator",1,63484,Uncommon,MM3,155/249,Yes,No
"Pyrewild Shaman",1,63435,Uncommon,MM3,106/249,No,No
"Rakdos Guildgate",1,63461,Common,MM3,242/249,No,No
"Mortician Beetle",1,63229,Common,MM3,78/249,No,No
"Vampire Aristocrat",1,63183,Common,MM3,86/249,No,No
"Spike Jester",1,63473,Common,MM3,188/249,No,No
"Kathari Bomber",1,63177,Common,MM3,172/249,No,No
"Bone Splinters",1,63165,Common,MM3,60/249,No,No
"Mountain",4,61837,Basic Land,KLD,261/264,No,No
"Forest",5,61829,Basic Land,KLD,263/264,No,No

"Zur the Enchanter",1,63081,Rare,MM3,204/249,No,Yes
"Strength in Numbers",2,63087,Common,MM3,138/249,No,Yes
"Seal of Primordium",1,63099,Common,MM3,135/249,No,Yes
"Giantbaiting",2,63121,Common,MM3,208/249,No,Yes
"Sedraxis Specter",1,63131,Uncommon,MM3,181/249,No,Yes
"Scourge Devil",1,63134,Common,MM3,111/249,Yes,Yes
"Spell Pierce",1,63192,Common,MM3,51/249,Yes,Yes
"Augur of Bolas",1,63353,Common,MM3,30/249,No,Yes
"Dynacharge",1,63365,Common,MM3,94/249,No,Yes
"Sundering Growth",1,63395,Common,MM3,211/249,No,Yes
"Soul Ransom",1,63431,Uncommon,MM3,186/249,No,Yes
"Rubblebelt Maaka",2,63433,Common,MM3,109/249,No,Yes
"Auger Spree",1,63397,Common,MM3,151/249,No,Yes
"Golgari Rotwurm",1,63065,Common,MM3,168/249,No,Yes
"Hanweir Lancer",1,63327,Common,MM3,97/249,No,Yes
"Vampire Aristocrat",1,63183,Common,MM3,86/249,No,Yes
